Policy,# Jobs,Trial 1,Trial 2,Trial 3,Average
max_min_fairness,64,0.016647,0.022606,0.022509,0.02058733333
max_min_fairness,128,0.029732,0.028881,0.026613,0.02840866667
max_min_fairness,256,0.035346,0.03626,0.036871,0.036159
max_min_fairness,512,0.046738,0.058963,0.059589,0.05509666667
max_min_fairness,1024,0.104834,0.105288,0.10439,0.1048373333
max_min_fairness,2048,0.271831,0.26756,0.263085,0.267492
max_min_fairness,4096,0.367592,0.351922,0.36487,0.3614613333
max_min_fairness_perf,64,0.023625,0.023138,0.02678,0.02451433333
max_min_fairness_perf,128,0.022588,0.031185,0.031972,0.02858166667
max_min_fairness_perf,256,0.040901,0.035811,0.040902,0.03920466667
max_min_fairness_perf,512,0.055467,0.054221,0.058349,0.05601233333
max_min_fairness_perf,1024,0.101196,0.099163,0.089835,0.09673133333
max_min_fairness_perf,2048,0.217413,0.215314,0.217034,0.216587
max_min_fairness_perf,4096,0.330982,0.362807,0.349707,0.347832
max_min_fairness_packed,64,2.519993,2.536388,2.515301,2.523894
max_min_fairness_packed,128,3.800663,3.781279,3.725417,3.769119667
max_min_fairness_packed,256,6.459509,6.601395,6.410481,6.490461667
max_min_fairness_packed,512,14.217919,14.167783,13.928944,14.104882
max_min_fairness_packed,1024,39.23059,39.137153,40.801355,39.72303267
max_min_fairness_packed,2048,121.451005,123.474015,120.51234,121.8124533
max_min_fairness_packed,4096,418.019747,409.628648,415.077489,414.2419613
